HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,Season,home_fpl,away_fpl,home_win,away_win
Newcastle,Tottenham,0,1,A,,,,1993-94,0.0,95.5,0.44715447154471544,0.28044280442804426
Southampton,Everton,0,2,A,,,,1993-94,60.0,62.32142857142857,0.41262135922330095,0.21033210332103322
Tottenham,Arsenal,0,1,A,,,,1993-94,95.5,68.92857142857143,0.4944649446494465,0.36900369003690037
Everton,Man City,1,0,H,,,,1993-94,62.32142857142857,81.95,0.42435424354243545,0.33482142857142855
Man United,Newcastle,1,1,D,,,,1993-94,70.6,0.0,0.6678966789667896,0.1910569105691057
Tottenham,Man City,1,0,H,,,,1993-94,95.5,81.95,0.4944649446494465,0.33482142857142855
Liverpool,Tottenham,1,2,A,,,,1993-94,70.07407407407408,95.5,0.5793357933579336,0.28044280442804426
Newcastle,Everton,1,0,H,,,,1993-94,0.0,62.32142857142857,0.44715447154471544,0.21033210332103322
Arsenal,Everton,2,0,H,,,,1993-94,68.92857142857143,62.32142857142857,0.6383763837638377,0.21033210332103322
Southampton,Man United,1,3,A,,,,1993-94,60.0,70.6,0.41262135922330095,0.47601476014760147
Man United,West Ham,3,0,H,,,,1993-94,70.6,68.04545454545455,0.6678966789667896,0.19421487603305784
Tottenham,Chelsea,1,1,D,,,,1993-94,95.5,101.9,0.4944649446494465,0.42435424354243545
Chelsea,Man United,1,0,H,,,,1993-94,101.9,70.6,0.6051660516605166,0.47601476014760147
Everton,Liverpool,2,0,H,,,,1993-94,62.32142857142857,70.07407407407408,0.42435424354243545,0.35424354243542433
Man United,Arsenal,1,0,H,,,,1993-94,70.6,68.92857142857143,0.6678966789667896,0.36900369003690037
Arsenal,Southampton,1,0,H,,,,1993-94,68.92857142857143,60.0,0.6383763837638377,0.17475728155339806
Chelsea,Liverpool,1,0,H,,,,1993-94,101.9,70.07407407407408,0.6051660516605166,0.35424354243542433
Newcastle,West Ham,2,0,H,,,,1993-94,0.0,68.04545454545455,0.44715447154471544,0.19421487603305784
Liverpool,Arsenal,0,0,D,,,,1993-94,70.07407407407408,68.92857142857143,0.5793357933579336,0.36900369003690037
West Ham,Chelsea,1,0,H,,,,1993-94,68.04545454545455,101.9,0.371900826446281,0.42435424354243545
Tottenham,Everton,3,2,H,,,,1993-94,95.5,62.32142857142857,0.4944649446494465,0.21033210332103322
Arsenal,Man City,0,0,D,,,,1993-94,68.92857142857143,81.95,0.6383763837638377,0.33482142857142855
Man United,Tottenham,2,1,H,,,,1993-94,70.6,95.5,0.6678966789667896,0.28044280442804426
Everton,Man United,0,1,A,,,,1993-94,62.32142857142857,70.6,0.42435424354243545,0.47601476014760147
Man City,Liverpool,1,1,D,,,,1993-94,81.95,70.07407407407408,0.5401785714285714,0.35424354243542433
Southampton,Newcastle,2,1,H,,,,1993-94,60.0,0.0,0.41262135922330095,0.1910569105691057
Liverpool,Southampton,4,2,H,,,,1993-94,70.07407407407408,60.0,0.5793357933579336,0.17475728155339806
West Ham,Man City,3,1,H,,,,1993-94,68.04545454545455,81.95,0.371900826446281,0.33482142857142855
Liverpool,West Ham,2,0,H,,,,1993-94,70.07407407407408,68.04545454545455,0.5793357933579336,0.19421487603305784
Southampton,Tottenham,1,0,H,,,,1993-94,60.0,95.5,0.41262135922330095,0.28044280442804426
Man City,Man United,2,3,A,,,,1993-94,81.95,70.6,0.5401785714285714,0.47601476014760147
Chelsea,Arsenal,0,2,A,,,,1993-94,101.9,68.92857142857143,0.6051660516605166,0.36900369003690037
Newcastle,Liverpool,3,0,H,,,,1993-94,0.0,70.07407407407408,0.44715447154471544,0.35424354243542433
Chelsea,Man City,0,0,D,,,,1993-94,101.9,81.95,0.6051660516605166,0.33482142857142855
West Ham,Arsenal,0,0,D,,,,1993-94,68.04545454545455,68.92857142857143,0.371900826446281,0.36900369003690037
Arsenal,Newcastle,2,1,H,,,,1993-94,68.92857142857143,0.0,0.6383763837638377,0.1910569105691057
Southampton,West Ham,0,2,A,,,,1993-94,60.0,68.04545454545455,0.41262135922330095,0.19421487603305784
Everton,Southampton,1,0,H,,,,1993-94,62.32142857142857,60.0,0.42435424354243545,0.17475728155339806
